id,score,comments
uoscph,31,3
uosc66,1,1
uosb8a,57,7
uos95i,56,4
uos8xu,2,1
uos6a6,1,0
uos1xf,30,6
uos1nc,1,1
uos05a,50,6
uoryrv,192,7
uorxi0,2,1
uorvya,9,1
uortmv,19,1
uort70,1,0
uorsg3,18,3
uoro81,24,2
uorko4,1,0
uorgyr,1,1
uoque2,8769,178
uoqj4f,1,0
uoqcbm,12,2
uoq8h3,1,0
uoq87v,3,3
uoq0yx,10,1
uoq0c5,150,7
uopklk,47,2
uopkim,28,1
uopcq7,2,0
uop0bl,2,1
uoov54,20,4
uooui5,1915,57
uootw1,35,1
uoostm,22,6
uooiub,88,1
uoofou,40,9
uoof2c,49,2
uooejo,39,3
uoo7l7,6,2
uoo5yq,45,3
uoo4a9,14,2
uonxmh,263,8
uonx1z,1,1
uonuqx,16,7
uonp9z,1,2
uonhzk,1,0
uonhfl,1,0
uongr8,46,4
uomxda,1,0
uomj62,39,1
uomcnq,128,64
uolw1f,1,0
uolp31,196,21
uolo7f,14,3
uoljvv,6,6
uolhfq,1,0
uolh42,49,5
uolh3d,35,5
uolh0y,38,4
uolgjy,48,4
uolg9a,11,3
uoldm8,97,8
uokypn,1,1
uokl1w,25,2
uok0u5,16,3
uojwml,35,2
uojpon,38,1
uojjlx,6407,135
uojgyh,135,11
uojbaq,12,0
uoj97b,1,0
uoj3mj,65,13
uoiwvs,55,13
uoitw8,86,4
uoihbe,3,1
uoieae,38,3
uoidth,36,6
uoibk0,5,9
uoi5wo,51,2
uoi5ko,65,4
uoi1e2,8,5
uoi0v9,46,1
uohx6p,512,63
uohpag,1,0
uohka9,14,2
uohi50,0,14
uohhmr,77,9
uohh76,8,2
uohfxw,239,23
uohdf3,1084,13
uoh6zf,48,8
uoh6p2,9,4
uoh3yx,3,5
uogxsz,1,0
uogs9w,12,1
uogie1,178,13
uogh9q,14,4
uogdlh,1,0
uogbm4,1,0
uog79t,1,0
uog3yo,188,12
uog1yq,1,1
uog0kn,22,2
uog00d,22,6
uofx8b,144,37
uofv1d,3,2
uofu9e,29,1
uofpta,42,3
uofkke,25,1
uofk75,21,7
uofige,22,5
uofhy5,15,2
uofhxs,3,2
uofg71,9,5
uofa1g,46,4
uof4eb,238,15
uof3qu,1,0
uof3k1,49,6
uof3dv,12,1
uoezbx,29,1
uoeyma,37,40
uoexka,65,5
uoew16,78,6
uoevmi,67,6
uoeq6y,112,6
uoeq2y,23,2
uoenqr,11,7
uoenmx,56,5
uoelej,149,7
uoejdt,1,0
uoej0d,1,0
uoegvl,13,26
uoefm7,1,0
uoebyu,42,2
uoebr4,35,6
uoe944,42,1
uoe3ad,1,0
uoe1lk,95,13
uoe0y6,2,1
uodwwp,25,2
uodvug,1,0
uoduag,25,1
uodtsh,12,3
uodt6c,22,1
uodsx4,9,1
uodqsu,67,11
uodm8k,248,9
uodi0e,18,1
uod95o,211,21
uod8m5,52,6
uod3wb,131,13
uod0b0,5,0
uocyt7,10,1
uocy5x,12,2
uocy4n,15,5
uocxpa,23,3
uocsm8,51,5
uocrd0,23,3
uocmnq,1,1
uocioq,9,9
uoci39,29,3
uoce7l,36,1
uoc9w4,15,11
uoc2wu,35,2
uoc2kd,38,3
uobwg7,2006,52
uobo5g,101,3
uoblcv,1,0
uob5o5,25,4
uob49v,34,3
uob44z,40,1
uoazvc,1,1
uoawwm,2,2
uoatbv,119,4
uoaqdh,50,3
uoapdo,1,0
uoakba,16,10
